"id","user_id","type_id","value","color","desc"
1,1,1,Боеприпас,,"<p>Вы можете использовать оружие со
свойством «боеприпас» для совершения дальнобойной атаки только если у вас есть боеприпасы для
стрельбы. Каждый раз, когда вы совершаете атаку
с помощью этого оружия, вы тратите один боеприпас. Вынимается боеприпас из колчана или
другого контейнера частью атаки. Для зарядки одноручного оружия требуется одна свободная рука.
В конце сражения вы восстанавливаете половину
использованных боеприпасов, потратив минуту на
поиски на поле боя.&nbsp;</p><p>Если вы используете оружие со свойством «боеприпас» для совершения рукопашной атаки, вы
считаете его импровизированным оружием. Праща
при этом должна быть заряжена.&nbsp;</p>"
2,1,1,Двуручное,,
3,1,1,Досягаемость,,"<p>Это оружие добавляет 5 футов к
расстоянию, на котором вы можете совершать этим
оружием атаки, а также провоцированные атаки.</p>"
5,1,1,Лёгкое,,"<p>Лёгкое оружие маленькое и удобное, и
идеально подходит для сражения двумя оружиями.</p>"
6,1,1,Метательное,,"<p>Если у оружия есть свойство «метательное», вы можете совершать им дальнобойные атаки, метая его. Если это рукопашное оружие, вы используете для бросков атаки и урона
тот же модификатор характеристики, что и при
совершении рукопашной атаки этим оружием.
Например, если вы метаете ручной топор, вы используете Силу, а если метаете кинжал, то можете
использовать либо Силу, либо Ловкость, так как у
кинжала есть свойство «фехтовальное».</p>"
7,1,1,Особое,,"<p>Оружие со свойством «особое» используется по специальным правилам, указанным в описании этого оружия.</p>"
8,1,1,Перезарядка,,"<p>Из-за долгой перезарядки этого
оружия вы можете выстрелить из него только
один боеприпас одним действием, бонусным действием или реакцией, вне зависимости от количества положенных атак.</p>"
9,1,1,Тяжёлое,,"<p>Существа Маленького размера совершают броски атаки тяжёлым оружием с помехой.
Из-за размера и веса Маленькие существа не могут
использовать такое оружие эффективно.&nbsp;</p>"
1,1,2,Боеприпас,,"<p>Вы можете использовать оружие со
свойством «боеприпас» для совершения дальнобойной атаки только если у вас есть боеприпасы для
стрельбы. Каждый раз, когда вы совершаете атаку
с помощью этого оружия, вы тратите один боеприпас. Вынимается боеприпас из колчана или
другого контейнера частью атаки. Для зарядки одноручного оружия требуется одна свободная рука.
В конце сражения вы восстанавливаете половину
использованных боеприпасов, потратив минуту на
поиски на поле боя.&nbsp;</p><p>Если вы используете оружие со свойством «боеприпас» для совершения рукопашной атаки, вы
считаете его импровизированным оружием. Праща
при этом должна быть заряжена.&nbsp;</p>"
2,1,2,Двуручное,,"<p>Это оружие нужно держать двумя
руками, когда вы атакуете им.</p>"
3,1,2,Досягаемость,,"<p>Это оружие добавляет 5 футов к
расстоянию, на котором вы можете совершать этим
оружием атаки, а также провоцированные атаки.</p>"
5,1,2,Лёгкое,,"<p>Лёгкое оружие маленькое и удобное, и
идеально подходит для сражения двумя оружиями.</p>"
6,1,2,Метательное,,"<p>Если у оружия есть свойство «метательное», вы можете совершать им дальнобойные атаки, метая его. Если это рукопашное оружие, вы используете для бросков атаки и урона
тот же модификатор характеристики, что и при
совершении рукопашной атаки этим оружием.
Например, если вы метаете ручной топор, вы используете Силу, а если метаете кинжал, то можете
использовать либо Силу, либо Ловкость, так как у
кинжала есть свойство «фехтовальное».</p>"
