id,user_id,type_id,value,color,desc
2,null,1,Эльф,null,null
3,null,1,Полуэльф,null,null
9,null,3,Лёгкие доспехи,null,null
5,null,9,Испуг,#f87171,"Испуганное существо получает помеху к проверкам характеристик и броскам атаки, пока источник испуга находится на линии его видимости.
Существо не может по своей воле переместиться ближе к источнику испуга."
6,null,9,Невидимость,#22d3ee,"Невидимое существо нельзя увидеть без помощи магии или особых способов восприятия. С точки зрения поиска существо находится в области крайне затруднённой видимости. Местоположение существа можно определить по шуму, которое оно издаёт, или по его следам.
Броски атаки против невидимки получают помеху, а броски атак самого невидимки получают преимущество."
10,null,4,Меч,null,null
12,null,3,Плащ,null,null
14,null,4,Простое оружие,null,null
15,null,4,Ручные арбалеты,null,null
16,null,4,Длинные мечи,null,null
17,null,4,Короткие мечи,null,null
18,null,5,Воровские инструменты,null,null
19,null,6,Эльфийский,null,null
20,null,6,Полуросликов,null,null
7,null,9,Обворожение,	#e879f9,"Обворожённое существо не может атаковать обворожившего или выбирать его целью вредоносных способностей или магических эффектов.
У обворожившего есть преимущество к любой проверке характеристики при общении с этим существом."
1,null,7,воплощение,#7bb56c,null
2,null,7,очарование,#b56ca8,null
3,null,7,ограждение,#b3b56c,null
4,null,7,иллюзия,#6ca1b5,null
5,null,7,преобразование,#6cb5a9,null
6,null,7,вызов,#b56c6c,null
7,null,7,прорицание,#adb56c,null
8,null,7,некромантия,#6c79b5,null
1,null,8,PHB,null,null
2,null,8,SCC,null,null
3,null,8,XGE,null,null
4,null,8,UASMT,null,null
5,null,8,MHH,null,null
6,null,8,GGR,null,null
7,null,8,AAG,null,null
8,null,8,PG,null,null
9,null,8,UAMM,null,null
10,null,8,ODL,null,null
11,null,8,UA22WotM,null,null
12,null,8,TDCS,null,null
13,null,8,DMf5E,null,null
14,null,8,TCE,null,null
15,null,8,IDRotF,null,null
16,null,8,UA21DO,null,null
17,null,8,GHtPG,null,null
18,null,8,UATOBM,null,null
19,null,8,SatO,null,null
20,null,8,UASS,null,null
21,null,8,FTD,null,null
22,null,8,UAFRW,null,null
23,null,8,LLK,null,null
24,null,8,AI,null,null
25,null,8,BMT,null,null
26,null,8,LH,null,null
27,null,8,EGtW,null,null
28,null,8,UACDW,null,null
29,null,8,SCAG,null,null
30,null,8,UA20POR,null,null
1,null,2,Волшебник,null,null
2,null,2,Колдун,null,null
3,null,2,Бард,null,null
4,null,2,Друид,null,null
5,null,2,Жрец,null,null
6,null,2,Паладин,null,null
7,null,2,Чародей,null,null
8,null,2,Следопыт,null,null
9,null,2,Шаман,null,null
10,null,2,Изобретатель,null,null
11,null,2,Магус,null,null
2,null,9,Выход из строя,#64748b,"Существо, выведенное из строя, не может совершать действия и ответные действия."
3,null,9,Глухота,#a78bfa,"Оглохшее существо не может слышать и автоматически проваливает проверки характеристик, требующие слуха."
10,null,9,Отравление,	#4ade80,Отравленное существо получает помеху к своим броскам атаки и проверкам характеристик.
13,null,9,Слепота,#64748b,"Ослеплённое существо не может видеть и автоматически проваливает проверки характеристик, требующие зрения.
Броски атаки против этого существа получают преимущество, а броски атак самого существа получают помеху."
